bid;ask;tick;SpreadNominal;SpreadTick;Symbol;time;instrument
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:22:47Z;RFX20
   36,35;   36,55;0,01;  0,20; 20;WTIJul20;2020-06-11T17:22:47Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:22:55Z;DO
  122,55;  123,00;0,05;  0,45;  9;GGALJun20;2020-06-11T17:22:55Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:22:55Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:22:55Z;RFX20
   36,35;   36,55;0,01;  0,20; 20;WTIJul20;2020-06-11T17:22:55Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:23:04Z;DO
  122,55;  123,00;0,05;  0,45;  9;GGALJun20;2020-06-11T17:23:04Z;GGAL
 1738,90; 1740,00;0,10;  1,10; 11;OROJul20;2020-06-11T17:23:04Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:23:04Z;RFX20
   36,30;   36,55;0,01;  0,25; 25;WTIJul20;2020-06-11T17:23:04Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:23:12Z;DO
  122,55;  123,00;0,05;  0,45;  9;GGALJun20;2020-06-11T17:23:12Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:23:12Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:23:12Z;RFX20
   36,30;   36,55;0,01;  0,25; 25;WTIJul20;2020-06-11T17:23:12Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:23:20Z;DO
  122,55;  123,00;0,05;  0,45;  9;GGALJun20;2020-06-11T17:23:20Z;GGAL
 1738,80; 1740,00;0,10;  1,20; 12;OROJul20;2020-06-11T17:23:20Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:23:20Z;RFX20
   36,30;   36,54;0,01;  0,24; 24;WTIJul20;2020-06-11T17:23:20Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:23:28Z;DO
  122,55;  123,00;0,05;  0,45;  9;GGALJun20;2020-06-11T17:23:28Z;GGAL
 1738,60; 1740,00;0,10;  1,40; 14;OROJul20;2020-06-11T17:23:28Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:23:28Z;RFX20
   36,30;   36,54;0,01;  0,24; 24;WTIJul20;2020-06-11T17:23:28Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:23:36Z;DO
  122,55;  123,05;0,05;  0,50; 10;GGALJun20;2020-06-11T17:23:36Z;GGAL
 1738,90; 1740,00;0,10;  1,10; 11;OROJul20;2020-06-11T17:23:36Z;ORO
